epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0994,1.47697,2.16381,1.44168,0.0018,0.38182,0.0013,0.00054,2.48606,inf,2.66923,0.000654762,0.000654762,0.000654762
2,91.9657,1.43671,1.33971,1.42605,0.01108,0.17273,0.00633,0.00253,2.20832,167.929,2.61842,0.00130835,0.00130835,0.00130835
3,134.612,1.54946,1.45108,1.5552,0.36506,0.01818,0.01192,0.00931,3.38697,8.66011,3.47793,0.00194873,0.00194873,0.00194873
4,176.188,1.51171,1.37408,1.55737,0.07865,0.25455,0.03179,0.01395,2.17626,11.0358,2.09957,0.0019406,0.0019406,0.0019406
5,218.404,1.40542,1.18574,1.50328,0.50902,0.25455,0.29391,0.17621,1.75367,14.4479,1.66303,0.0019208,0.0019208,0.0019208
6,261.897,1.3519,1.14908,1.43439,0.73983,0.7,0.65268,0.40775,1.47648,1.8529,1.52266,0.001901,0.001901,0.001901
7,304.791,1.26913,1.03951,1.37807,0.69367,0.49091,0.44586,0.25757,1.74692,2.68626,1.76489,0.0018812,0.0018812,0.0018812
8,346.817,1.27277,0.98336,1.38271,0.83287,0.7,0.69131,0.42809,1.38779,1.24249,1.44865,0.0018614,0.0018614,0.0018614
9,390.134,1.21846,0.94214,1.33308,0.74734,0.75294,0.72567,0.43673,1.38658,1.08766,1.46889,0.0018416,0.0018416,0.0018416
10,432.889,1.20923,0.94979,1.33255,0.78133,0.74712,0.69934,0.44633,1.27134,1.17652,1.35852,0.0018218,0.0018218,0.0018218
11,475.765,1.18493,0.89206,1.31338,0.76005,0.6911,0.68537,0.41226,1.39664,1.49872,1.4438,0.001802,0.001802,0.001802
12,519.745,1.12925,0.83122,1.28276,0.77536,0.68182,0.67245,0.41345,1.42748,1.22373,1.4417,0.0017822,0.0017822,0.0017822
13,562.032,1.10399,0.8098,1.27004,0.7691,0.69646,0.68753,0.43174,1.30207,1.1667,1.38031,0.0017624,0.0017624,0.0017624
14,606.378,1.11045,0.81839,1.26551,0.83463,0.71818,0.696,0.4292,1.33561,1.16568,1.42184,0.0017426,0.0017426,0.0017426
15,649.812,1.08047,0.8209,1.26173,0.83336,0.76364,0.7821,0.50554,1.24556,0.98178,1.31967,0.0017228,0.0017228,0.0017228
16,693.022,1.08374,0.79924,1.24459,0.81952,0.74545,0.74494,0.50395,1.25762,0.93528,1.35837,0.001703,0.001703,0.001703
17,735.502,1.08342,0.76216,1.26649,0.81079,0.77273,0.74141,0.47131,1.35748,1.04817,1.38082,0.0016832,0.0016832,0.0016832
