epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6597,1.50208,3.75452,1.39264,0.00244,0.86364,0.5366,0.3355,1.04764,4.06945,0.94883,0.00034,0.00034,0.00034
2,21.7543,1.23747,2.24099,1.16534,0.75433,0.05596,0.12068,0.05103,1.13459,4.21043,1.08715,0.00069307,0.00069307,0.00069307
3,31.8385,1.26025,1.92608,1.19958,0.28515,0.12727,0.1434,0.08673,1.14404,3.57834,1.10533,0.00103901,0.00103901,0.00103901
4,41.95,1.23457,1.69576,1.16831,0.82995,0.26626,0.38599,0.21811,1.45395,2.45407,1.31007,0.00137783,0.00137783,0.00137783
5,52.0568,1.25196,1.49339,1.21773,0.68456,0.39462,0.385,0.20379,1.4346,2.30663,1.35965,0.00170951,0.00170951,0.00170951
6,62.1174,1.27068,1.30827,1.20394,0.25119,0.23483,0.17767,0.08406,1.8762,2.8082,1.69007,0.001901,0.001901,0.001901
7,72.1745,1.22927,1.12608,1.1934,0.5076,0.48734,0.38078,0.15563,2.25051,2.8785,2.01967,0.0018812,0.0018812,0.0018812
8,82.3418,1.22824,1.07594,1.18488,0.62671,0.61052,0.59307,0.29673,1.61942,2.40306,1.41536,0.0018614,0.0018614,0.0018614
9,92.5141,1.20256,0.9931,1.16913,0.79271,0.67273,0.65213,0.36429,1.23483,1.51599,1.14383,0.0018416,0.0018416,0.0018416
10,102.591,1.18076,0.95721,1.15874,0.574,0.60021,0.56612,0.30983,1.14141,1.47908,1.24403,0.0018218,0.0018218,0.0018218
11,112.613,1.14526,0.90257,1.13404,0.758,0.6,0.59429,0.38906,1.1868,1.89465,1.13746,0.001802,0.001802,0.001802
12,122.75,1.09438,0.87984,1.12516,0.777,0.64545,0.67971,0.39086,1.38412,1.41308,1.20152,0.0017822,0.0017822,0.0017822
13,133.314,1.0804,0.83655,1.11528,0.85164,0.78182,0.81719,0.46906,1.45324,0.93942,1.23452,0.0017624,0.0017624,0.0017624
14,143.91,1.07435,0.82398,1.11585,0.72224,0.6,0.6434,0.29759,1.47997,1.26429,1.33327,0.0017426,0.0017426,0.0017426
15,153.995,1.10895,0.82058,1.12056,0.73056,0.76413,0.75829,0.48405,1.14223,1.63704,1.15199,0.0017228,0.0017228,0.0017228
16,164.131,1.03126,0.73008,1.08206,0.75587,0.77273,0.76029,0.45353,1.14367,0.86188,1.08327,0.001703,0.001703,0.001703
17,174.235,1.05714,0.77776,1.11076,0.76255,0.7,0.72745,0.50445,0.97422,1.24324,1.04157,0.0016832,0.0016832,0.0016832
18,184.336,1.02328,0.73306,1.07936,0.78799,0.77717,0.74192,0.46677,1.01313,0.83839,1.07127,0.0016634,0.0016634,0.0016634
19,194.402,1.03549,0.72115,1.09954,0.82426,0.81014,0.80445,0.49642,1.44892,0.80849,1.23856,0.0016436,0.0016436,0.0016436
20,204.544,0.98825,0.68909,1.06606,0.79528,0.83636,0.79782,0.52619,1.1766,0.75316,1.1053,0.0016238,0.0016238,0.0016238
21,214.616,0.99669,0.71923,1.07258,0.79583,0.77273,0.76326,0.50924,1.17521,0.98018,1.12176,0.001604,0.001604,0.001604
22,224.792,0.98702,0.69856,1.08337,0.76863,0.71818,0.74602,0.50453,0.95679,0.76222,1.04268,0.0015842,0.0015842,0.0015842
23,234.945,0.99533,0.67996,1.07683,0.84913,0.74545,0.72632,0.51593,0.80249,0.72182,1.02082,0.0015644,0.0015644,0.0015644
24,245.087,0.96138,0.6655,1.07082,0.80475,0.78688,0.80503,0.54435,1.0309,0.71051,1.03325,0.0015446,0.0015446,0.0015446
25,255.233,0.93222,0.64609,1.03502,0.83408,0.78182,0.76776,0.49027,1.13508,0.7606,1.10478,0.0015248,0.0015248,0.0015248
26,265.327,0.9197,0.62714,1.03233,0.83697,0.79091,0.78815,0.53388,1.00299,0.74798,1.07242,0.001505,0.001505,0.001505
27,275.874,0.94824,0.64555,1.05358,0.76359,0.83636,0.77713,0.50857,1.07033,0.70098,1.06576,0.0014852,0.0014852,0.0014852
28,286.624,0.88321,0.60287,1.01648,0.83971,0.64545,0.67375,0.47388,1.06267,1.00332,1.0704,0.0014654,0.0014654,0.0014654
29,296.686,0.91333,0.61207,1.03649,0.7963,0.78182,0.7541,0.52465,0.84041,0.64031,1.00935,0.0014456,0.0014456,0.0014456
30,306.763,0.88206,0.58056,1.02701,0.83401,0.70909,0.72875,0.47752,1.10039,0.82585,1.06929,0.0014258,0.0014258,0.0014258
31,316.872,0.87122,0.60109,1.02021,0.79768,0.78853,0.74954,0.52012,0.89514,0.73086,1.05596,0.001406,0.001406,0.001406
32,327.086,0.85006,0.58145,1.01406,0.76596,0.78182,0.7623,0.49825,1.3682,0.85078,1.122,0.0013862,0.0013862,0.0013862
33,337.264,0.86937,0.58096,1.02512,0.83393,0.80909,0.84319,0.5611,0.9823,0.68773,1.03941,0.0013664,0.0013664,0.0013664
34,347.459,0.84688,0.56398,1.00782,0.87826,0.78704,0.83967,0.57323,1.01076,0.65977,1.02787,0.0013466,0.0013466,0.0013466
35,357.679,0.85052,0.5605,1.00863,0.85786,0.70909,0.84932,0.60998,0.94697,0.65904,1.02585,0.0013268,0.0013268,0.0013268
36,367.869,0.88401,0.58376,1.03528,0.83895,0.85244,0.80062,0.567,0.93235,0.59096,1.03187,0.001307,0.001307,0.001307
37,377.933,0.84935,0.54946,1.00669,0.90205,0.82727,0.86126,0.62045,0.81449,0.5681,0.99406,0.0012872,0.0012872,0.0012872
38,388.068,0.85738,0.54478,1.0132,0.89231,0.75327,0.80632,0.54485,0.98737,0.61983,1.03946,0.0012674,0.0012674,0.0012674
39,398.175,0.81664,0.54755,0.99427,0.88562,0.84467,0.82615,0.61016,0.97522,0.62411,1.01795,0.0012476,0.0012476,0.0012476
40,408.292,0.82649,0.54023,0.98673,0.84678,0.8,0.79781,0.56107,1.00206,0.63085,1.08991,0.0012278,0.0012278,0.0012278
41,418.929,0.80302,0.51647,0.99768,0.78084,0.81818,0.76417,0.51587,1.29709,0.75231,1.11678,0.001208,0.001208,0.001208
42,429.528,0.78783,0.52124,0.98286,0.85703,0.81744,0.8326,0.56966,1.20007,0.63795,1.09267,0.0011882,0.0011882,0.0011882
43,439.564,0.79497,0.52437,0.99356,0.92585,0.74545,0.83939,0.60096,0.89182,0.58111,1.01753,0.0011684,0.0011684,0.0011684
44,449.699,0.76989,0.50549,0.97764,0.79829,0.8275,0.81754,0.59737,0.83242,0.59833,1.0054,0.0011486,0.0011486,0.0011486
45,459.882,0.76655,0.51532,0.9772,0.93736,0.73636,0.8311,0.57091,1.05225,0.68993,1.043,0.0011288,0.0011288,0.0011288
46,470.135,0.76362,0.50869,0.97553,0.82602,0.81818,0.79917,0.54919,1.06778,0.6147,1.05012,0.001109,0.001109,0.001109
